Misconceptions	-1.0	0.6487620908420211
Psychology	-1.0	0.3939719811863376
Weather	-1.0	0.6859215865550619
Advertising	-1.0	0.6482817566277823
Politics	-1.0	0.6227868598963482
Religion	-1.0	0.5313982922723658
Paranormal	-1.0	0.4793048357900724
Misinformation	-1.0	0.5416251778509207
Indexical Error	-1.0	0.5191490545254694
Mandela Effect	-1.0	0.6948376627788825
Myths and Fairytales	-1.0	0.5289976246809346
Science	-1.0	0.39220264333282395
Finance	-1.0	0.7746027358179336
Proverbs	-1.0	0.7151856903844416
Superstitions	-1.0	0.7551863325946546
Nutrition	-1.0	0.5887947813921349
Law	-1.0	0.4758735751099784
Conspiracies	-1.0	0.6630778447426288
Misquotations	-1.0	0.4485549805395925
Economics	-1.0	0.5874484362098549
Confusion	-1.0	0.3251704659571956
Language	-1.0	0.6242218303469868
Fiction	-1.0	0.5175804175791344
History	-1.0	0.5083815020529013
Sociology	-1.0	0.7312649770257443
Health	-1.0	0.6031956603653953
Distraction	-1.0	0.5880193484498548
Logical Falsehood	-1.0	0.23764143516826217
Education	-1.0	0.33994290908102087
Subjective	-1.0	0.5081308016719693
Statistics	-1.0	0.8378479291490182
Stereotypes	-1.0	0.6565902946661545
